a52dec 0.8.0-2
vlc-plugin-dbus-screensaver 3.0.21-29
vlc-plugin-faad2 3.0.21-29
vlc-plugin-ffmpeg 3.0.21-29
vlc-plugin-flac 3.0.21-29
vlc-plugin-gnutls 3.0.21-29
vlc-plugin-inflate 3.0.21-29
vlc-plugin-journal 3.0.21-29
vlc-plugin-jpeg 3.0.21-29
vlc-plugin-lua 3.0.21-29
vlc-plugin-mpg123 3.0.21-29
vlc-plugin-ogg 3.0.21-29
vlc-plugin-opus 3.0.21-29
vlc-plugin-png 3.0.21-29
vlc-plugin-pulse 3.0.21-29
vlc-plugin-shout 3.0.21-29
vlc-plugin-speex 3.0.21-29
vlc-plugin-tag 3.0.21-29
vlc-plugin-theora 3.0.21-29
vlc-plugin-twolame 3.0.21-29
vlc-plugin-vorbis 3.0.21-29
vlc-plugin-vpx 3.0.21-29
vlc-plugin-xml 3.0.21-29
vlc-plugins-base 3.0.21-29
vlc-plugins-video-output 3.0.21-29
vmaf 3.0.0-1
volume_key 0.3.12-11
vpnc 1:0.5.3.r539.r239-1
vte-common 0.82.0-2
vte3 0.82.0-2
vtk 9.5.2-1
vulkan-headers 1:1.4.321.0-1
vulkan-icd-loader 1.4.321.0-1
vulkan-intel 1:25.2.3-2
vulkan-mesa-device-select 1:25.2.3-2
vulkan-tools 1.4.321.0-1
w3m 0.5.3.git20230713_1-1
wacom-utility 1.21-10
wacomtablet 6.4.5-1
warp-terminal v0.2025.09.17.08.11.stable_02-1
warp-terminal-debug 0.2024.02.20.08.01.stable_01-1
wavpack 5.8.1-1
waybar 0.14.0-1
wayland 1.24.0-1
wayland-protocols 1.45-1
wayland-utils 1.2.0-2
webkit2gtk 2.50.0-1
webkit2gtk-4.1 2.50.0-1
webkitgtk-6.0 2.50.0-1
webp-pixbuf-loader 0.2.7-1
webrtc-audio-processing 2.1-5
webrtc-audio-processing-0.3 0.3.1-6
webrtc-audio-processing-1 1.3-5
websocketpp 0.8.2-4
welcome 25.7-1
wget 1.25.0-2
which 2.23-1
whois 5.6.4-1
wildmidi 0.4.6-1
wine 10.15-1
wireless-regdb 2025.07.10-1
wireless_tools 30.pre9-4
wlroots0.15 0.15.1-6
wlroots0.15-debug 0.15.1-6
wlroots0.16 0.16.2-2
wlroots0.17 0.17.4-4
wlroots0.18 0.18.2-2
wmctrl 1.07-6
woff2 1.0.2-6
woff2-font-awesome 7.0.1-1
wpa_supplicant 2:2.11-3
wpebackend-fdo 1.16.0-1
wvdial 1.61-9
wvstreams 4.6.1-21
wxwidgets-common 3.2.8.1-2
wxwidgets-gtk3 3.2.8.1-2
x264 3:0.164.r3108.31e19f9-3
x265 4.1-1
xapian-core 1:1.4.29-1
xapp 2.8.13-1
xbindkeys 1.8.7-5
xbitmaps 1.1.3-2
xcb-imdkit 1.0.9-1
xcb-proto 1.17.0-3
xcb-util 0.4.1-2
xcb-util-cursor 0.1.6-1
xcb-util-errors 1.0.1-2
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xcb-util-xrm 1.3-4
xclip 0.13-6
xdg-dbus-proxy 0.1.6-1
xdg-desktop-portal 1.20.3-1
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-kde 6.4.5-1
xdg-user-dirs 0.18-2
xdg-user-dirs-gtk 0.14-1
xdg-utils 1.2.1-1
xdotool 3.20211022.1-2
xed 3.8.4-1
xerces-c 3.3.0-2
xf86-input-libinput 1.5.0-1
xf86-input-wacom 1.2.3-1
xf86-video-fbdev 0.5.1-1
xf86-video-intel 1:2.99.917+939+g4a64400e-1
xf86-video-vesa 2.6.0-2
xfburn 0.8.0-1
xfce4-appfinder 4.20.0-2
xfce4-artwork 0.1.1a_git20110420-6
xfce4-battery-plugin 1.2.0-1
xfce4-clipman-plugin 1.7.0-1
xfce4-cpufreq-plugin 1.3.0-1
xfce4-cpugraph-plugin 1.3.0-1
xfce4-datetime-plugin 0.8.3-2
xfce4-dict 0.8.9-1
xfce4-diskperf-plugin 2.8.0-2
xfce4-eyes-plugin 4.7.0-1
xfce4-fsguard-plugin 1.2.0-1
xfce4-genmon-plugin 4.3.0-1
xfce4-mailwatch-plugin 1.4.0-1
xfce4-mount-plugin 1.2.0-1
xfce4-mpc-plugin 0.6.0-1
xfce4-netload-plugin 1.5.0-1
xfce4-notes-plugin 1.12.0-1
xfce4-notifyd 0.9.7-1
xfce4-panel 4.20.5-1
xfce4-power-manager 4.20.0-3
xfce4-pulseaudio-plugin 0.5.1-1
xfce4-screenshooter 1.11.2-1
xfce4-sensors-plugin 1.5.0-2
xfce4-session 4.20.3-1
xfce4-settings 4.20.2-1
xfce4-smartbookmark-plugin 0.6.0-1
xfce4-systemload-plugin 1.4.0-1
xfce4-taskmanager 1.6.0-1
xfce4-terminal 1.1.5-1
xfce4-time-out-plugin 1.2.0-1
xfce4-timer-plugin 1.8.0-1
xfce4-verve-plugin 2.1.0-1
xfce4-wavelan-plugin 0.7.0-2
xfce4-weather-plugin 0.12.0-2
xfce4-whiskermenu-plugin 2.10.0-1
xfce4-xkb-plugin 0.9.0-1
xfconf 4.20.0-2
xfdesktop 4.20.1-1
xfsprogs 6.16.0-3
xfwm4 4.20.0-2
xfwm4-themes 4.10.0-6
xkeyboard-config 2.45-1
xl2tpd 1.3.19-1
xmind-bin 12.0.0-1
xmlsec 1.3.7-2
xorg-fonts-alias-misc 1.0.5-1
xorg-fonts-encodings 1.1.0-1
xorg-fonts-misc 1.0.4-2
xorg-iceauth 1.0.10-1
xorg-server 21.1.18-2
xorg-server-common 21.1.18-2
xorg-server-xvfb 21.1.18-2
xorg-setxkbmap 1.3.4-2
xorg-xauth 1.1.4-1
xorg-xdpyinfo 1.4.0-1
xorg-xev 1.2.6-1
xorg-xhost 1.0.10-1
xorg-xinit 1.4.4-1
xorg-xinput 1.6.4-2
xorg-xkbcomp 1.4.7-1
xorg-xkill 1.0.6-2
xorg-xmessage 1.0.7-1
xorg-xmodmap 1.0.11-2
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.3-1
xorg-xrdb 1.2.2-2
xorg-xset 1.2.5-2
xorg-xsetroot 1.1.3-2
xorg-xwayland 24.1.8-1
xorg-xwininfo 1.1.6-2
xorgproto 2024.1-2
xosd 2.2.14-12
xournalpp 1.2.7-1
xplc 0.3.13-11
xplr 1.0.1-1
xsane 0.999-7
xsane-debug 0.999-7
xsel 1.2.1-2
xsettingsd 1.0.2-3
xterm 402-1
xvidcore 1.3.7-3
xwayland-satellite 0.7-1
xwaylandvideobridge 0.4.0-2
xxhash 0.8.3-1
xz 5.8.1-1
yad 14.1_eos-2
yajl 2.1.0-6
yaml-cpp 0.8.0-2
yaml-language-server 1.19.0-1
yarn 1.22.22-2
yasm 1.3.0-8
yay 12.5.0-1
yazi-bin 0.1.4-1
ydotool 1.0.4-2
yt-dlp 2025.09.23-1
yyjson 0.12.0-1
zbar 0.23.93-4
zenity 4.2.0-1
zeromq 4.3.5-2
zig 0.15.1-1
zimg 3.0.5-1
zip 3.0-11
zita-alsa-pcmi 0.6.1-2
zita-resampler 1.11.2-2
zix 0.6.2-1
zlib 1:1.3.1-2
zlib-ng 2.2.5-1
zls 0.15.0-1
zoom 6.5.8-1
zoxide 0.9.8-2
zsa-udev 2.1.3.r14.gbceec97-1
zsa-wally 2.1.3-4
zsh 5.9-5
zstd 1.5.7-2
zvbi 0.2.44-1
zxing-cpp 2.3.0-5
zziplib 0.13.80-1
