a52dec 0.8.0-2
haskell-hslua-module-version 1.1.1-122
haskell-hslua-module-zip 1.1.3-25
haskell-hslua-objectorientation 2.3.1-27
haskell-hslua-packaging 2.3.1-129
haskell-hslua-repl 0.1.2-125
haskell-hslua-typing 0.1.1-121
haskell-http-api-data 0.6.1-23
haskell-http-client 0.7.19-37
haskell-http-client-tls 0.3.6.4-110
haskell-http-date 0.0.11-222
haskell-http-media 0.8.1.1-98
haskell-http-types 0.12.4-118
haskell-http2 5.0.0-5
haskell-hunit 1.6.2.0-393
haskell-indexed-traversable 0.1.4-160
haskell-indexed-traversable-instances 0.1.2-109
haskell-integer-conversion 0.1.1-38
haskell-integer-logarithms 1.0.4-110
haskell-iproute 1.7.15-68
haskell-ipynb 0.2-260
haskell-isocline 1.0.9-3
haskell-jira-wiki-markup 1.5.1-106
haskell-juicypixels 3.3.9-75
haskell-lexer 1.2-1
haskell-libyaml 0.1.4-138
haskell-lpeg 1.1.0-20
haskell-lua 2.3.3-83
haskell-memory 0.18.0-92
haskell-mime-types 0.1.2.0-3
haskell-mmorph 1.2.1-1
haskell-monad-control 1.0.3.1-236
haskell-mono-traversable 1.0.21.0-112
haskell-network 3.1.4.0-105
haskell-network-byte-order 0.1.7-3
haskell-network-control 0.1.1-15
haskell-network-uri 2.6.4.2-117
haskell-old-locale 1.0.0.7-32
haskell-old-time 1.1.0.4-4
haskell-onetuple 0.4.2-150
haskell-only 0.1-24
haskell-optparse-applicative 0.18.1.0-192
haskell-ordered-containers 0.2.4-84
haskell-os-string 2.0.8-56
haskell-pandoc 3.3-3
haskell-pandoc-lua-engine 0.3.1-3
haskell-pandoc-lua-marshal 0.2.8-24
haskell-pandoc-server 0.1.0.6-57
haskell-pandoc-types 1.23.1-141
haskell-pem 0.2.4-370
haskell-pretty-show 1.10-19
haskell-prettyprinter 1.7.1-328
haskell-prettyprinter-ansi-terminal 1.1.3-412
haskell-prettyprinter-compat-ansi-wl-pprint 1.0.2-181
haskell-primitive 0.9.1.0-80
haskell-psqueues 0.2.8.2-35
haskell-quickcheck 2.15.0.1-46
haskell-random 1.2.1.3-132
haskell-recv 0.1.1-55
haskell-regex-base 0.94.0.3-2
haskell-regex-tdfa 1.3.2.4-66
haskell-resourcet 1.2.6-203
haskell-safe 0.3.21-89
haskell-safe-exceptions 0.1.7.4-156
haskell-scientific 0.3.8.0-107
haskell-semialign 1.3.1-37
haskell-semigroupoids 6.0.1-81
haskell-serialise 0.2.6.1-151
haskell-servant 0.20.3.0-28
haskell-servant-server 0.20.3.0-36
haskell-sha 1.6.4.4-21
haskell-simple-sendfile 0.2.32-172
haskell-singleton-bool 0.1.8-30
haskell-skylighting 0.14.2-27
haskell-skylighting-core 0.14.2-27
haskell-skylighting-format-ansi 0.1-267
haskell-skylighting-format-blaze-html 0.1.1.3-121
haskell-skylighting-format-context 0.1.0.2-231
haskell-skylighting-format-latex 0.1-266
haskell-socks 0.6.1-322
haskell-some 1.0.6-56
haskell-sop-core 0.5.0.2-3
haskell-split 0.2.5-117
haskell-splitmix 0.1.2-36
haskell-statevar 1.2.2-4
haskell-streaming-commons 0.2.3.0-68
haskell-strict 0.5-238
haskell-syb 0.7.3-40
haskell-tagged 0.8.9-2
haskell-tagsoup 0.14.8-310
haskell-tasty 1.5.2-6
haskell-temporary 1.3-848
haskell-texmath 0.12.8.10-10
haskell-text-conversions 0.3.1.1-148
haskell-text-icu 0.8.0.5-87
haskell-text-iso8601 0.1.1-38
haskell-text-short 0.1.6-146
haskell-th-abstraction 0.5.0.0-1
haskell-th-compat 0.1.6-67
haskell-th-lift 0.8.6-1
haskell-th-lift-instances 0.1.20-136
haskell-these 1.2.1-179
haskell-time-compat 1.9.7-73
haskell-time-manager 0.0.1-130
haskell-tls 2.0.6-46
haskell-toml-parser 2.0.1.2-47
haskell-transformers-base 0.4.6-236
haskell-transformers-compat 0.7.2-3
