viu 1.5.0-1
vpnc 1:0.5.3.r526.r213-1
w3m 0.5.3.git20230121_1-1
wacom-utility 1.21-7
waybar 0.9.24-1
welcome 3.80-1
wget 1.21.4-1
which 2.21-6
whois 5.5.20-1
wireless-regdb 2023.09.01-1
wireless_tools 30.pre9-3
wmctrl 1.07-6
wpa_supplicant 2:2.10-8
wvdial 1.61-8
xbindkeys 1.8.7-4
xclip 0.13-4
xdg-desktop-portal-kde 5.27.9-1
xdg-user-dirs 0.18-1
xdg-user-dirs-gtk 0.11-2
xdg-utils 1.2.0r17+g21fb316-1
xdotool 3.20211022.1-1
xed 3.4.3-1
xf86-input-libinput 1.4.0-1
xf86-video-fbdev 0.5.0-3
xf86-video-intel 1:2.99.917+923+gb74b67f0-1
xf86-video-vesa 2.6.0-1
xfburn 0.7.0-1
xfce4-appfinder 4.18.1-1
xfce4-artwork 0.1.1a_git20110420-6
xfce4-battery-plugin 1.1.5-1
xfce4-clipman-plugin 1.6.5-1
xfce4-cpufreq-plugin 1.2.8-1
xfce4-cpugraph-plugin 1.2.8-1
xfce4-datetime-plugin 0.8.3-1
xfce4-dict 0.8.6-1
xfce4-diskperf-plugin 2.7.0-1
xfce4-eyes-plugin 4.6.0-1
xfce4-fsguard-plugin 1.1.3-1
xfce4-genmon-plugin 4.2.0-1
xfce4-mailwatch-plugin 1.3.1-1
xfce4-mount-plugin 1.1.6-1
xfce4-mpc-plugin 0.5.3-1
xfce4-netload-plugin 1.4.1-1
xfce4-notes-plugin 1.10.0-1
xfce4-notifyd 0.9.3-1
xfce4-panel 4.18.5-1
xfce4-power-manager 4.18.2-1
xfce4-pulseaudio-plugin 0.4.8-1
xfce4-screenshooter 1.10.4-1
xfce4-sensors-plugin 1.4.4-1
xfce4-session 4.18.3-1
xfce4-settings 4.18.3-1
xfce4-smartbookmark-plugin 0.5.2-1
xfce4-systemload-plugin 1.3.2-1
xfce4-taskmanager 1.5.6-2
xfce4-terminal 1.1.1-2
xfce4-time-out-plugin 1.1.3-1
xfce4-timer-plugin 1.7.2-1
xfce4-verve-plugin 2.0.3-1
xfce4-wavelan-plugin 0.6.3-1
xfce4-weather-plugin 0.11.1-1
xfce4-whiskermenu-plugin 2.8.2-1
xfce4-xkb-plugin 0.8.3-1
xfconf 4.18.3-1
xfdesktop 4.18.1-1
xfsprogs 6.5.0-1
xfwm4 4.18.0-2
xfwm4-themes 4.10.0-5
xl2tpd 1.3.18-1
xmind-bin 12.0.0-1
xorg-server 21.1.9-1
xorg-xdpyinfo 1.3.4-1
xorg-xev 1.2.5-1
xorg-xhost 1.0.9-1
xorg-xinit 1.4.2-1
xorg-xinput 1.6.4-1
xorg-xkill 1.0.6-1
xorg-xrandr 1.5.2-1
xorg-xwayland 23.2.2-1
xorg-xwininfo 1.1.6-1
xournalpp 1.2.2-1
xplr 0.21.3-1
xsane 0.999-6
xsel 1.2.1-1
xterm 388-1
yad 13.0-2.1
yakuake 23.08.3-1
yaml-language-server 1.14.0-1
yarn 1.22.19-1
yay 12.2.0-1
yazi-bin 0.1.4-1
zanshin 23.08.3-1
zenity 3.44.2-1
zig 0.11.0-1
zls 0.11.0-1
zoom 5.16.10-1
zoxide 0.9.2-1
zsa-wally 2.1.3-4
